source_label	corrected_label	reason
tibalis anterior muscle	tibialis anterior muscle	Typo: 'tibalis' should be 'tibialis'. The corrected form is the standard TA2 name and is already recorded as an EXACT synonym of UBERON:0001385.
tibalis posterior muscle	tibialis posterior muscle	Spelling error — missing 'i'. Standard anatomical term is 'tibialis posterior muscle' (already a related synonym on UBERON:0001667). Term is a confirmed existing match so no new term is needed; record correction for the candidates/QC report.
interspinales cervicalis muscle	interspinales cervicis muscle	TA2 / standard anatomical nomenclature uses 'musculi interspinales cervicis' (genitive 'cervicis', not 'cervicalis'). 'Cervicalis' is grammatically the adjective form, but the established TA term is 'interspinales cervicis'. Keep 'interspinales cervicalis muscle' as a related synonym.
inferior longitudinal lingual muscle	inferior longitudinal muscle of tongue	UBERON convention (see UBERON:0008582 'superior longitudinal muscle of tongue', UBERON:0008583 'transverse muscle of tongue', UBERON:0008584 'vertical muscle of tongue') uses 'X muscle of tongue' rather than 'X lingual muscle'. Keep source name as EXACT synonym.
iliocostalis cervicalis muscle	iliocostalis cervicis muscle	Standard TA2 form uses Latin genitive 'cervicis' (of the neck), not adjectival 'cervicalis'. UBERON:0008546 uses 'iliocostalis cervicis muscle'. Source spelling could be retained as RELATED synonym.
pteryopharyngeal part of superior pharyngeal constrictor muscle	pterygopharyngeal part of superior pharyngeal constrictor muscle	Source spelling 'pteryopharyngeal' is missing the 'g' from the Greek root 'pteryg-' (wing, referring to the pterygoid process). Standard TA2/FMA/UBERON form is 'pterygopharyngeal' (UBERON:0010956, FMA:46638). Source spelling could be retained as RELATED synonym.
lateral compartmet of leg muscle	lateral compartment of leg muscle	Typo in source label: 'compartmet' -> 'compartment'. Keep source name as related synonym.
transverse muscle	transverse muscle of tongue	Source label 'transverse muscle' is ambiguous outside the lingual context. UBERON's canonical label is 'transverse muscle of tongue' (UBERON:0008583). Already carries 'transverse muscle' as a RELATED synonym, so no synonym addition is needed.
vertical muscle	vertical muscle of tongue	Source label 'vertical muscle' is ambiguous outside the lingual context. UBERON's canonical label is 'vertical muscle of tongue' (UBERON:0008584). Already carries 'vertical muscle' as a RELATED synonym, so no synonym addition is needed.
superior longitudinal lingual muscle	superior longitudinal muscle of tongue	Source label uses 'lingual muscle' word order; UBERON's canonical label is 'superior longitudinal muscle of tongue' (UBERON:0008582). Consider adding 'superior longitudinal lingual muscle' as an EXACT synonym to aid matching from HRA/ASCTB sources.
tensor fascia latae muscle	tensor fasciae latae muscle	Standard anatomical Latin uses the genitive 'fasciae' (of the fascia), not nominative 'fascia'. UBERON:0001376 already carries 'tensor fasciae lata muscle' as an EXACT synonym; the source variant 'tensor fascia latae muscle' could be added as an additional synonym if not already covered.
longus capitus muscle	longus capitis muscle	'capitus' is a misspelling of the Latin genitive 'capitis' (of the head). Standard anatomical term is 'longus capitis muscle' (TA2). Already present in UBERON as UBERON:0001563 with the misspelled form already captured as a RELATED synonym.
puboperineales muscle	puboperinealis muscle	TA2 Latin form is 'musculus puboperinealis' (singular); 'puboperineales' is the plural Latin adjective form used inconsistently. The standard English label is 'puboperinealis muscle' or 'puboperineal muscle'. Keep source name as a synonym.
rectus capitus anterior muscle	rectus capitis anterior muscle	Standard anatomical Latin is 'capitis' (genitive of caput), not 'capitus'. The source variant is already captured as a RELATED synonym on UBERON:0008453.
sternal part of respiratory diaphragm muscle	sternal part of diaphragm	UBERON uses 'diaphragm' (UBERON:0001103) as the standard label; FMA and TA2 use 'sternal part of diaphragm' (FMA:58278, 'pars sternalis diaphragmatis'). The source 'respiratory diaphragm muscle' phrasing is non-standard. Keep source name as RELATED synonym.
splenius capitus muscle	splenius capitis	'capitus' is a misspelling of the Latin genitive 'capitis' (of the head). Standard anatomical nomenclature (TA2, FMA:22653) uses 'splenius capitis'. The existing UBERON:0000711 already carries 'splenius capitis muscle' as an EXACT synonym. Source label should be treated as a typographical variant; no new term required.
rectus capitius posterior minor muscle	rectus capitis posterior minor	Input contains a misspelling: 'capitius' is a typo for 'capitis' (genitive of Latin caput, head). The correctly spelled term already exists in UBERON as UBERON:0008455. The variant 'rectus capitus posterior minor muscle' is already registered there as a RELATED synonym; the input form 'rectus capitius posterior minor muscle' could also be added as an additional misspelling synonym if desired.
